URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300382|TSHIRT V NECK 6153480 AHOH WHITE M|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300383|TSHIRT V NECK 6153480 AHOH WHITE L|PCE|1|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300401|TSHIRT HENNY NECK+ MUKU 6153482 AHOH WHITE S|PCE|4|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300402|TSHIRT HENNY NECK+ MUKU 6153482 AHOH WHITE M|PCE|1|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300403|TSHIRT HENNY NECK+ MUKU 6153482 AHOH WHITE L|PCE|7|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300404|TSHIRT HENNY NECK+ MUKU 6153482 AHOH WHITE XL|PCE|1|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300437|TSHIRT WAFFLE L/S CREW NECK + MUKU 6143333 AHOH CHARCOAL S|PCE|5|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300473|TSHIRT V NECK 6153480 AHOI BLACK S|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300474|TSHIRT V NECK 6153480 AHOI BLACK M|PCE|4|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.300904|TANKTOP 6143503 AIOC GREY M|PCE|11|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.301148|TSHIRT V NECK 6153480 AIOH ROYAL L|PCE|15|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.330068|SWETER ANAK H&M SINA RAGLAN HOOD PINK GREY 92|PCE|11|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.330069|SWETER ANAK H&M SINA RAGLAN HOOD PINK GREY 98/104|PCE|47|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.330070|SWETER ANAK H&M SINA RAGLAN HOOD PINK GREY 110/116|PCE|58|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.330071|SWETER ANAK H&M SINA RAGLAN HOOD PINK GREY 122/128|PCE|65|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.330072|SWETER ANAK H&M SINA RAGLAN HOOD PINK GREY 134/140|PCE|42|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340076|BEBE SPORT VELOUR PULLOVER W/ RIVET BB2103 TRUE NAVY M|PCE|1|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340109|BEBE SPORT VELOUR JOGGER BB1100 CABERNET L|PCE|17|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340177|BEBE SPORT VELOUR JOGGER BP1100 TRUE NAVY 2X|PCE|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340191|BEBE SPORT VELOUR PULLOVER W/ RIVET BP2103 CABERNET 1X|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340192|BEBE SPORT VELOUR PULLOVER W/ RIVET BP2103 CABERNET 2X|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340195|BEBE SPORT VELOUR JOGGER BB1098 CABERNET M|PCE|1|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340199|BEBE SPORT VELOUR JOGGER BB1098 BLACK M|PCE|12|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340205|BEBE SPORT VELOUR PULLOVER W/ RIVET BP2103 TRUE NAVY 1X|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340412|SWETER SAIL RACING CAPE HOOD CARBON S|PCE|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|E.340415|SWETER SAIL RACING CAPE HOOD CARBON XL|PCE|7|0|0|A|||||0|0
