URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-1|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-2|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-3|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-4|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-5|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-6|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-7|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-8|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-9|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNFSM01-10|FLAT SEAMER NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSSL01-1|SEAM SEALING H&H AI-127|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNBTK01-1|BAR TACK BROTHER KE430HS-03|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSSL02-1|SEAM SEALING|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL01-1|SINGLE NEEDLE MAQI|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-1|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-2|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-3|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-4|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-5|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-6|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-7|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-8|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-9|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL02-10|SINGLE NEEDLE ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND01-1|MULTI NEEDLE FX4421 P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND01-2|MULTI NEEDLE FX4421 P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND01-3|MULTI NEEDLE FX4421 P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND01-4|MULTI NEEDLE FX4421 P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND01-5|MULTI NEEDLE FX4421 P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-1|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-2|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-3|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-4|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-5|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-6|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNMND02-7|MULTI NEEDLE FX4418P|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-1|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-2|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-3|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-4|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-5|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-6|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-7|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-8|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-9|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSDL01-10|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-1|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-2|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-3|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-4|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-5|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-6|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-7|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-8|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-9|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-10|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-11|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-12|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-13|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-14|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-15|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-16|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-17|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-18|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-19|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-20|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-21|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-22|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-23|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-24|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|SMSNSDL02-25|SINGLE NEEDLE BROTHER S7200A-433|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-1|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-2|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-3|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-4|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-5|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-6|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-7|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNOVC01-8|OVERDECK CYLINDER BED (W600) W662PVH-35BX356CS/FT9C|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG01|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG02|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG03|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG04|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG05|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG06|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG07|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNSPG08|SPRAY GUN|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNCUT01-1|CUTTING MACHINE E45 400W|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNBTK01-1|BARTACK KE430HS-05|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNBTK01-2|BARTACK KE430HS-05|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNBTK01-3|BARTACK KE430HS-05|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNBAS01-1|BAS NEXIO BAS 311HN-035|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNBAS01-2|BAS NEXIO BAS 311HN-035|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNDNL01-1|DOUBLE NEEDLE LOCKSTITCH T8420-003|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNDNL01-2|DOUBLE NEEDLE LOCKSTITCH T8420-003|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNDNL01-3|DOUBLE NEEDLE LOCKSTITCH T8420-003|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SO-MDL|2019-10-31||2019-10-31|STOCK OPNAME|MSNDNL01-4|DOUBLE NEEDLE LOCKSTITCH T8420-003|UNIT|1|0|0|M|||||0|0
