URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
BC 2.7 MSK|IN-43467-PM|2019-01-02|000003|2019-01-02|PT.PETRASAKTI MADYATAMA|RMP0005|PADDING|YRD|100|0|0|A|DIPROSES|USD|KG||7.73|0
BC 2.3|IN-43467-KGC|2019-01-02|002284|2019-01-02|KNE GLOBAL CO.,LTD|RMT0001|TAG|PCE|10506|0|0|A|DIPROSES|USD|KG||0|0
BC 2.7 MSK|IN-43467-PM|2019-01-02|000004|2019-01-02|PT.PETRASAKTI MADYATAMA|RMN0004|NEEDLE PUNCH|YRD|120|0|0|A|DIPROSES|USD|KG||6.8|0
BC 2.3|IN-43467-KGC|2019-01-02|002284|2019-01-02|KNE GLOBAL CO.,LTD|RME0005|E-THREAD|NBB|72|0|0|A|DIPROSES|USD|KG||546.6|0
BC 2.3|IN-43467-KGC|2019-01-02|002284|2019-01-02|KNE GLOBAL CO.,LTD|RMP0022|POLYBAG|PCE|38400|0|0|A|DIPROSES|USD|KG||0|0
BC 4.0|IN-43467-PTJI|2019-01-02|000464|2019-01-02|PT. TAE JONG INDONESIA|RMP0022|POLYBAG|PCE|2690|0|0|A|DIPROSES|IDR|KG||14.4|0
BC 2.3|IN-43467-GTI|2019-01-02|000219|2019-01-02|GREEN THREADS INC|RMF0039|FABRIC (WOVEN) NYLON 100%|MTR|1375.2|0|0|A|DIPROSES|JPY|KG||121.5|0
BC 2.3|IN-43467-KGC|2019-01-02|002284|2019-01-02|KNE GLOBAL CO.,LTD|RMF0194|COTTON 68% POLY 32% FABRIC|YRD|610|0|0|A|DIPROSES|USD|KG||0|0
BC 2.3|IN-43467-KGC|2019-01-02|002284|2019-01-02|KNE GLOBAL CO.,LTD|RMS0021|STICKER|PCE|22600|0|0|A|DIPROSES|USD|KG||0|0
BC 2.7 MSK|IN-43467-PM|2019-01-02|000003|2019-01-02|PT.PETRASAKTI MADYATAMA|RMP0005|PADDING|YRD|400|0|0|A|DIPROSES|USD|KG||61.85|0
