URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311463|FILA INEZ (PEACOT, XL)|PIECES|288|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311462|FILA INEZ (PEACOT, L)|PIECES|1440|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311461|FILA INEZ (PEACOT, M)|PIECES|1872|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311460|FILA INEZ (PEACOT, S)|PIECES|2448|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311459|FILA BEATRIZ (PEACOT, XL)|PIECES|576|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311458|FILA BEATRIZ (PEACOT, L)|PIECES|1152|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311457|FILA BEATRIZ (PEACOT, M)|PIECES|1872|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.311456|FILA BEATRIZ (PEACOT, S)|PIECES|2448|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302095|HUMAN GREATNES HOODIE ZIPPER SWEATER HG-05 (PUTIH, L)|PIECES|12|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320976|12.989.B4.RD RUSSET RED SS SLIMFIT TEE (RED, XL )|PIECES|311|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320975|12.989.B4.RD RUSSET RED SS SLIMFIT TEE (RED, L )|PIECES|663|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320974|12.989.B4.RD RUSSET RED SS SLIMFIT TEE (RED, M )|PIECES|665|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320973|12.989.B4.RD RUSSET RED SS SLIMFIT TEE (RED, S )|PIECES|337|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320972|12.A06.B4.BK CRUISER BLACK SS SLIMFIT TEE (BLACK,XL)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320971|12.A06.B4.BK CRUISER BLACK SS SLIMFIT TEE (BLACK,L)|PIECES|720|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320970|12.A06.B4.BK CRUISER BLACK SS SLIMFIT TEE (BLACK,M)|PIECES|720|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.320969|12.A06.B4.BK CRUISER BLACK SS SLIMFIT TEE (BLACK,S)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343961|KID SKI PANT (RUSIA, SIZE 6, 715 DARK NAVY)|PIECES|40|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343960|KID SKI PANT (RUSIA, SIZE 4, 715 DARK NAVY)|PIECES|30|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343959|KID SKI PANT (RUSIA, 374 PINK FUSCHA, SIZE 6)|PIECES|40|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343958|KID SKI PANT (RUSIA, 374 PINK FUSCHA, SIZE 4)|PIECES|30|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343957|KID SKI PANT (KOREA, 374 PINK FUSCHA, SIZE 8)|PIECES|2|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343956|KID SKI PANT (374 PINK FUSCHA, SIZE 6, KOREA)|PIECES|1|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343955|KID SKI PANT (SIZE 8, KOREA, 200 BLACK)|PIECES|3|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343954|KID SKI PANT (200 BLACK, SIZE 6, KOREA)|PIECES|2|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343953|KID FLOCON SUIT (6, 9AM GIRLY FONT, KOREA)|PIECES|1|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.343952|KID FLOCON SUIT ( 9AM GIRLY FONT, KOREA, 4)|PIECES|1|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302074|HUMAN GREATNES BASIC T-SHIRT HG-01 (PUTIH, 2XL)|PIECES|1|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302073|HUMAN GREATNES BASIC T-SHIRT HG-01 (PUTIH, XL)|PIECES|6|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302072|HUMAN GREATNES BASIC T-SHIRT HG-01 (PUTIH, L)|PIECES|13|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302071|HUMAN GREATNES BASIC T-SHIRT HG-01 (PUTIH, M)|PIECES|6|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.302070|HUMAN GREATNES BASIC T-SHIRT HG-01 (PUTIH, S)|PIECES|5|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301700|6153482 AIAA (CHARCOAL, XL)|PIECES|60|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301698|6153482 AIAA (CHARCOAL, M)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301696|6153482 AIAA (GREY, XL)|PIECES|180|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301695|6153482 AIAA (GREY, L)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301694|6153482 AIAA (GREY, M)|PIECES|300|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301693|6153482 AIAA (GREY, S)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301692|6153482 AIAA (BLACK, XL)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301691|6153482 AIAA (BLACK, L)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301690|6153482 AIAA (BLACK, M)|PIECES|300|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301689|6153482 AIAA (BLACK, S)|PIECES|180|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301680|6153481 AIAA (CHARCOAL, XL)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301679|6153481 AIAA (CHARCOAL, L)|PIECES|180|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301678|6153481 AIAA (CHARCOAL, M)|PIECES|300|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301677|6153481 AIAA (CHARCOAL, S)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301676|6153481 AIAA (GREY, XL)|PIECES|60|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301675|6153481 AIAA (GREY, L)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301674|6153481 AIAA (GREY, M)|PIECES|300|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301673|6153481 AIAA (GREY, S)|PIECES|240|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301670|6153481 AIAA (BLACK, M)|PIECES|420|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301669|6153481 AIAA (BLACK, S)|PIECES|360|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.301910|HUMAN GREATNES LONG SLEEVE T-SHIRT HG-02 (COKLAT, L)|PIECES|1|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|L.301855|HUMAN GREATNES HOODIE ZIPPER SWEATER HG-05 (NAVY, M)|PIECES|12|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301663|6153480 AIAA (ROYAL, L)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301662|6153480 AIAA (ROYAL, M)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301661|6153480 AIAA (ROYAL, S)|PIECES|60|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301659|6153480 AIAA (CHARCOAL, L)|PIECES|120|0|0|FG|||||0|0
IN|IN-43769-SO-FG|2019-10-31||2019-11-01|STOCK OPNAME|E.301658|6153480 AIAA (CHARCOAL, M)|PIECES|180|0|0|FG|||||0|0
