URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASZPRCIL15CMSNV|ACCESORIES SEWING ZIPPER COIL 15CM SQK NAVY NO 3 CLOSE END|PIECES|18|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2HGY|ACCESORIES SEWING SEWING THREAD SPUN 40/2 HEATHER GREY|CONES|646|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BRY|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BURGUNDY|CONES|306|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2SAX|ACCESORIES SEWING SEWING THREAD SPUN 40/2 SAX|CONES|29|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2CMO|ACCESORIES SEWING SEWING THREAD SPUN 40/2 CAMO|CONES|584|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2OFW|ACCESORIES SEWING SEWING THREAD SPUN 40/2 OFF WHITE|CONES|54|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2UBE|ACCESORIES SEWING SEWING THREAD SPUN 40/2 ULTRA BLUE|CONES|906|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2WHT|ACCESORIES SEWING SEWING THREAD SPUN 40/2 WHITE|CONES|65|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2ORG|ACCESORIES SEWING SEWING THREAD SPUN 40/2 ORANGE|CONES|35|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLC|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLUE COVE|CONES|885|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BGP|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BUBBLE GUM PINK|CONES|1275|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BGR|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BOTTLE GREEN|CONES|26|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2LVT|ACCESORIES SEWING SEWING THREAD SPUN 40/2 LAVENDER TOUCH|CONES|664|0|0|A|||||0|0
