URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
BC 2.7 MSK|IN-43102-PI|2018-01-02|000186|2018-01-02|PT.RLC INDONESIA|RMI0003|INTERLINING|YRD|100|0.25|0|A|DIPROSES|USD|||2.7|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RME0005|E-THREAD|NBB|608|1.39|0|A|DIPROSES|USD|||0|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RMV0007|VELCRO|SET|2040|0.46|0|A|DIPROSES|USD|||0|0
BC 2.7 MSK|IN-43102-PI|2018-01-02|000186|2018-01-02|PT.RLC INDONESIA|RMI0003|INTERLINING|YRD|200|0.25|0|A|DIPROSES|USD|||5.4|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RME0013|E-STRING|PCE|3517|8.34176855274382E-02|0|A|DIPROSES|USD|||163|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RMF0001|FABRIC 100% POLYESTER|YRD|280|0.96|0|A|DIPROSES|USD|||0|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RMD0001|D-BUCKLE|PCE|2060|0.26|0|A|DIPROSES|USD|||0|0
BC 2.7 MSK|IN-43102-PI|2018-01-02|000186|2018-01-02|PT.RLC INDONESIA|RMI0003|INTERLINING|YRD|200|0.25|0|A|DIPROSES|USD|||5.4|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|NT|TAPE|PCE|150|0.08|0|A|DIPROSES|USD|||0|0
BC 2.3|IN-43102-FTTK|2018-01-02|000116|2018-01-02|FIRST TEXTILE TRADING KOREA|RMZ0001|ZIPPER|PCE|1071|0.41|0|A|DIPROSES|USD|||0|0
