URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
BC 3.0|OUT-43525-KGC|2019-03-01|91414|2019-03-01|KNE GLOBAL CO.,LTD|LMJA9A221|MEN´S SPRING JACKET|PCE|8|0|0|A|||||0|0
BC 3.0|OUT-43525-KGC|2019-03-01|91414|2019-03-01|KNE GLOBAL CO.,LTD|LFJA9B305|WOMEN´S SPRING JACKET|PCE|98|0|0|A|||||0|0
BC 3.0|OUT-43525-KGC|2019-03-01|91414|2019-03-01|KNE GLOBAL CO.,LTD|LMJA9A205|MEN´S SPRING JACKET|PCE|4|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93520|2019-03-02|KNE GLOBAL CO.,LTD|SOT-29011|MEN´S DOWN JACKET|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93520|2019-03-02|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93520|2019-03-02|KNE GLOBAL CO.,LTD|WPPA8B007|MEN´S PANTS|PCE|2|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93520|2019-03-02|KNE GLOBAL CO.,LTD|SOT-29009|MEN´S DOWN JACKET|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93520|2019-03-02|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43526-KGC|2019-03-02|93883|2019-03-02|KNE GLOBAL CO.,LTD|HUJU9B391|MEN´S SPRING JACKET|PCE|329|0|0|A|||||0|0
BC 3.0|OUT-43528-KGC|2019-03-04|95602|2019-03-04|KNE GLOBAL CO.,LTD|HWPA9B451|WOMEN´S PANTS|PCE|3|0|0|A|||||0|0
BC 3.0|OUT-43528-KGC|2019-03-04|95602|2019-03-04|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|2|0|0|A|||||0|0
BC 2.7|OUT-43528-PJG(FI)|2019-03-04|97896|2019-03-04|PT.YONGJIN JAVASUKA GARMENT ( FACTORY II )|Y18CST0292-01/TLF9-0292PCO|VEST|PCE|7000|0|0|A|||||0|0
BC 3.0|OUT-43528-KGC|2019-03-04|95602|2019-03-04|KNE GLOBAL CO.,LTD|BUBERY|MEN´S DOWN JACKET|PCE|3|0|0|A|||||0|0
BC 3.0|OUT-43528-KGC|2019-03-04|95602|2019-03-04|KNE GLOBAL CO.,LTD|FOU-21936|MEN´S DOWN JACKET|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43529-KGC|2019-03-05|97677|2019-03-05|KNE GLOBAL CO.,LTD|FOU-21933|MEN´S DOWN JACKET|PCE|2|0|0|A|||||0|0
BC 3.0|OUT-43529-KGC|2019-03-05|97677|2019-03-05|KNE GLOBAL CO.,LTD|FOU-21936|MEN´S DOWN JACKET|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43529-KGC|2019-03-05|97677|2019-03-05|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|2|0|0|A|||||0|0
BC 3.0|OUT-43529-KGC|2019-03-05|97677|2019-03-05|KNE GLOBAL CO.,LTD|FOU-21915|WOMEN´S JACKET|PCE|2|0|0|A|||||0|0
BC 3.0|OUT-43529-KGC|2019-03-05|98269|2019-03-05|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|163|0|0|A|||||0|0
BC 3.0|OUT-43530-KGC|2019-03-06|100271|2019-03-06|KNE GLOBAL CO.,LTD|PW3MP19S511|MEN´S PANTS|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43530-KGC|2019-03-06|100271|2019-03-06|KNE GLOBAL CO.,LTD|PW3MP19S512|MEN´S PANTS|PCE|1|0|0|A|||||0|0
BC 3.0|OUT-43530-KGC|2019-03-06|100271|2019-03-06|KNE GLOBAL CO.,LTD|HUPA9B391|MEN´S PANTS|PCE|1|0|0|A|||||0|0
