URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-1|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-2|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-3|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-4|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-5|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-6|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-7|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-8|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-9|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-10|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-11|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-12|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-13|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-14|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-15|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-16|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-17|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-18|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-19|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-20|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-21|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-22|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-23|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-24|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-25|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-26|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-27|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-28|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-29|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-30|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-31|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-32|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-33|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-34|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-35|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-36|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-37|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-38|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-39|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-40|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-41|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-42|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-43|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-44|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-45|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-46|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-47|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-48|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-49|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-50|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-51|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-52|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-53|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-54|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-55|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-56|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-57|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-58|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-59|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-60|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-61|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-62|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-63|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-64|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
IN|IN-43766-OB|2019-10-28||2019-10-28|OPENING BALANCE|M.300007-65|JAHIT SINGLE NEEDLE|PCS|1|0|0|M|||||0|0
