URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|LFJA8A222|WOMEN´S SPRING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|LFVE8A122|WOMEN´S DOWN VEST|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|D18FWL-FC0347|MEN´S DOWN JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|HOS13PL08M|KIDS JACKET|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|LMJA8A121|MEN´S SPRING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|LMVE8A070|MEN´S VEST|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|FDG-21805|MEN´S SPRING VEST|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|HNW18PS62P|KIDS PANT|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|HOS13PL10M|MEN´S PANTS|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43102-FTTK|2018-01-02|1363|2018-01-02|FIRST TEXTILE TRADING KOREA|LFJA8A001|WOMEN´S PADDING JACKET|PCE|3|USD 9.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|FDG-21802|MEN´S SPRING JACKET|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LFJA8B503|WOMEN´S SPRING JACKET|PCE|3|USD 9.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LMJA8A070|MEN´S JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LFJA8A222|WOMEN´S SPRING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|HOS13PL10M|MEN´S PANTS|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|HOM10PS21M|KIDS PANTS|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|OUPA7BP18|MEN´S PANT|PCE|4|USD 8.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LFJA8A001|WOMEN´S PADDING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LMVE8A070|MEN´S VEST|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LMJA8A001|MEN´S SPRING JACKET|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|LFJA8A001|WOMEN´S PADDING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|HOS13PL08M|KIDS JACKET|PCE|1|USD 2.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|2615|2018-01-03|FIRST TEXTILE TRADING KOREA|LMJA8A121|MEN´S SPRING JACKET|PCE|465|USD 4185.00|0|FG|||||0|0
BC 3.0|OUT-43103-FTTK|2018-01-03|3343|2018-01-03|FIRST TEXTILE TRADING KOREA|OUPA7BM56|MEN´S PANTS|PCE|1|USD 2.00|0|FG|||||0|0
BC 2.6.1|OUT-43104-PGP|2018-01-04|220|2018-01-04|PT. GOLDEN PRININDO|POT0002|POTONGAN BAHAN PRINTING|SET|2599|USD 4405.31|0|C|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|FOU-21807|MEN´S SPRING JACKET|PCE|1|USD 3.00|0|FG|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|FTR-21804|WOMEN´S JACKET|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|LFVE8B302|WOMEN´S SPRING JACKET|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|LMVE8A001|MEN´S PADDING VEST|PCE|2|USD 6.00|0|FG|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|LFVE8A001|WOMEN´S PADDING VEST|PCE|3|USD 9.00|0|FG|||||0|0
BC 3.0|OUT-43104-FTTK|2018-01-04|5131|2018-01-04|FIRST TEXTILE TRADING KOREA|LMVE8A001|MEN´S PADDING VEST|PCE|3|USD 9.00|0|FG|||||0|0
