URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200141|PISAU TRIMMING KANSAI (05-658)|PIECES|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200140|LOOPER OVERDECK 257566 (PEGASUS)|PIECES|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200139|ASAHAN MESIN TSM|PIECES|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200138|JARUM 149X7/MY1002A/TVX7|PIECES|300|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300165|INDUSTRIAL SEWING MACHINE, MERK H&H AI-127 (SEAM SEALING)|UNIT|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200137|JARUM TNC|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300164|MESIN BROTHER KE430HS-03 SN.A8Z75286|UNIT|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200136|JARUM GROZ BECKERT (UY 128 GAS)|PIECES|81|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200135|JARUM TNC|PIECES|526|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200134|NEEDLE PLATE SIDE CUTTER UKURAN 1/8 (FULL SET)|SET|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200133|LOOPER 19-619 ( MESIN FS )|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200132|NEEDLE PLATE 14-604 ( FINGER MESIN FS )|PIECES|11|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200131|HOLDER 26-631 (MESIN FS)|PIECES|7|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300163|MESIN HOT AIR SEAM SEALING MACHINE|UNIT|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200130|SEPATU MESIN PATTERN SEWER JK-T12080-F6-X|PIECES|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200129|SHOULDER SCREW M4|PIECES|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200128|THREAD TRIMMER|PIECES|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300162|MESIN JAHIT MAQI|UNIT|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200127|FEED PLATE (SA3615-001)|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200126|WROK CLAMP L (S33748-001)|PIECES|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200125|WORK CLAMP R (S33747-001)|PIECES|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200124|BAUD JARUM FS 85-603|PIECES|50|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200123|VANBELT MESIN OBRAS M35|PIECES|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200122|GIGI KARET MESIN JAHIT|PIECES|35|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200121|PISAU JAHIT|PIECES|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300161|MESIN PRESS|UNIT|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200120|BAUD SKOCI J.2|PIECES|50|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200119|BEARING 6001Z (SPREADING)|PIECES|4|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200118|BELT M-12 (SPREADING)|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200117|LOWER BLADE (CA-17)|PIECES|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200116|NEEDLE CLAMP 324 (M932-355)|PIECES|4|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200115|NUT|PIECES|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200114|THREAD EYELET|PIECES|20|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200113|CNC 8002|PIECES|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300160|MESIN JARUM 2 OTOMATIS UKURAN 14|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300159|MESIN JAHIT JARUM 1 ZJ.9000D-D4S/02/G/S|UNIT|10|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200112|TOOTHED BEL 16T5/500|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200111|TOOTHED BEL 16T5/815|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200110|TOOTHED BEL DT5-590(065748/063429)|PIECES|1|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200109|ROTARY HOOK DOUBLE NEEDLE|PIECES|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200108|TAHANAN PISAU MESIN OBRAS PEGASUS (M952-52H)|PIECES|6|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200107|KARET MESIN JAHIT|PIECES|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300158|MESIN SHINGLIAN FW-777CB-356|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300157|MESIN 3 NEEDLE VARIABLE WT264-01GBX356/Y1547|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200106|PISAU OVERDECK BAWAH PEGASUS|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300156|MESIN SNAP BUTTON|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300155|MESIN KANSAI FX442JP|UNIT|5|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300154|MESIN KANSAI FX44J8P|UNIT|7|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300153|MESIN JUITA JTK8-13080A+J+E1+W|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300152|SINAJET FT1512|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300151|MESIN KANSAI KEPALA KECIL|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300150|MESIN KANSAI SIRUBA-VC008|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300149|MESIN JAHIT BROTHER-433|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200105|JOKI GANTUNG|PIECES|15|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200104|PER TENSION TEBAL|PIECES|30|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200103|PER TENSION TIPIS|PIECES|20|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300148|MESIN KANSAI JK-8009VCD1-17032P|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300147|MESIN KANSAI JK-8008VC-12064P|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300146|MESIN PLAKET JUITA K3-01C|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300145|MESIN JAHIT BROTHER S72000A-433|UNIT|45|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200102|SILIKON BENANG|PIECES|3|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200101|PISAU OVERDECK HAMMING 257574|PIECES|20|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200100|NEEDLE BAR JARUM 1|PIECES|17|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200099|SEKOCI JARUM 1|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200098|PER MESIN CUTTING|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200097|SEPATU OBRAS BENANG 4|PIECES|12|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200096|TEFLON UKURAN 1 MM|PIECES|8|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200095|ASAHAN PISAU KM/EASMENT|BOX|8|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200094|GUNTING POLA|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300144|MESIN PRESS HASIMA HP-10P|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200093|TAHANAN ROTARI|PIECES|13|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200092|RELL TEFLON|PIECES|100|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200091|SEPATU TRF RELL TEFLON|PIECES|42|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200090|BAUD TATABAN M.JAHIT|PIECES|50|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200089|GUNTING BESAR IJO|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200088|BAUD GIGI MESIN JAHIT|PIECES|20|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200087|BAUD JARUM MESIN RANTAI|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200086|METERAN|PIECES|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|M.300143|MESIN PRESANT UNISUN|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200085|ASAHAN MESIN POTONG BADKNIFE|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200084|ALAS SEPATU T35|PIECES|15|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200083|GUNTING KODOK MERAH|PIECES|2|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200082|PALET MESIN LOBANG KANCING|PIECES|16|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200081|GIGI MESIN JAHIT KODE U 1860|PIECES|25|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|A.800368|MEJA STAFF|UNIT|0|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200080|BAUD JARUM OVERDECK|PIECES|40|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200079|BAUD JARUM OBRAS|PIECES|40|0|0|M|||||0|0
IN|IN-43763-OB|2019-10-25||2019-10-25|OPENING BALANCE|S.200078|BAUD COUPLER MCN 22|PIECES|0|0|0|M|||||0|0
