NIK|TANGGAL|JAM|STATUS
NAG.001135|2019-01-26|7:07:00 AM|IN
NAG.001135|2019-01-26|12:39:00 PM|OUT
NAG.001135|2019-01-28|7:19:00 AM|IN
NAG.001135|2019-01-28|4:17:00 PM|OUT
NAG.001135|2019-01-29|7:14:00 AM|IN
NAG.001135|2019-01-29|8:03:00 PM|OUT
NAG.001135|2019-01-29|8:05:00 PM|OUT
NAG.001135|2019-02-01|6:56:00 AM|IN
NAG.001135|2019-02-01|5:44:00 PM|OUT
NAG.001135|2019-02-02|7:17:00 AM|IN
NAG.001135|2019-02-02|12:39:00 PM|OUT
NAG.001219|2019-01-26|7:09:00 AM|IN
NAG.001219|2019-01-26|12:44:00 PM|OUT
NAG.001219|2019-01-28|7:15:00 AM|IN
NAG.001219|2019-01-28|8:00:00 PM|OUT
NAG.001219|2019-01-29|7:11:00 AM|IN
NAG.001219|2019-01-29|7:59:00 PM|OUT
NAG.001219|2019-01-30|7:11:00 AM|IN
NAG.001219|2019-01-30|5:01:00 PM|OUT
NAG.001219|2019-01-31|7:11:00 AM|IN
NAG.001219|2019-01-31|5:29:00 PM|OUT
NAG.001219|2019-02-01|6:55:00 AM|IN
NAG.001219|2019-02-01|7:59:00 PM|OUT
NAG.001219|2019-02-02|7:14:00 AM|IN
NAG.001219|2019-02-02|8:00:00 PM|OUT
NAG.001219|2019-02-04|7:10:00 AM|IN
NAG.001219|2019-02-04|5:04:00 PM|OUT
NAG.001219|2019-02-05|6:59:00 AM|IN
NAG.001219|2019-02-05|3:46:00 PM|OUT
NAG.001219|2019-02-06|7:21:00 AM|IN
NAG.001219|2019-02-06|4:51:00 PM|OUT
NAG.001219|2019-02-07|7:13:00 AM|IN
NAG.001219|2019-02-07|5:14:00 PM|OUT
NAG.001219|2019-02-08|6:59:00 AM|IN
NAG.001219|2019-02-08|7:58:00 PM|OUT
NAG.001219|2019-02-09|7:14:00 AM|IN
NAG.001219|2019-02-09|12:57:00 PM|OUT
NAG.001219|2019-02-11|7:14:00 AM|IN
NAG.001219|2019-02-11|5:27:00 PM|OUT
NAG.001219|2019-02-12|7:08:00 AM|IN
NAG.001309|2019-01-26|7:06:00 AM|IN
NAG.001309|2019-01-26|12:33:00 PM|OUT
NAG.001309|2019-01-28|7:11:00 AM|IN
NAG.001309|2019-01-28|5:26:00 PM|OUT
NAG.001309|2019-01-29|7:05:00 AM|IN
NAG.001309|2019-01-29|4:54:00 PM|OUT
NAG.001309|2019-01-30|7:03:00 AM|IN
NAG.001309|2019-01-30|5:28:00 PM|OUT
NAG.001309|2019-01-31|7:03:00 AM|IN
NAG.001309|2019-01-31|5:31:00 PM|OUT
NAG.001309|2019-02-01|6:56:00 AM|IN
NAG.001309|2019-02-01|5:03:00 PM|IN
NAG.001309|2019-02-02|7:07:00 AM|IN
NAG.001309|2019-02-02|8:00:00 PM|OUT
NAG.001309|2019-02-04|7:13:00 AM|IN
NAG.001309|2019-02-04|5:17:00 PM|OUT
NAG.001309|2019-02-05|7:04:00 AM|IN
NAG.001309|2019-02-05|3:59:00 PM|OUT
NAG.001309|2019-02-06|7:26:00 AM|IN
NAG.001309|2019-02-06|5:48:00 PM|OUT
NAG.001309|2019-02-07|7:00:00 AM|IN
NAG.001309|2019-02-07|5:21:00 PM|OUT
NAG.001309|2019-02-08|6:52:00 AM|IN
NAG.001309|2019-02-08|8:02:00 PM|OUT
NAG.001309|2019-02-09|7:10:00 AM|IN
NAG.001309|2019-02-09|12:58:00 PM|OUT
NAG.001309|2019-02-11|7:12:00 AM|IN
NAG.001309|2019-02-11|5:48:00 PM|OUT
NAG.001309|2019-02-12|7:04:00 AM|IN
NAG.001319|2019-01-26|6:50:00 AM|IN
NAG.001319|2019-01-26|12:30:00 PM|OUT
NAG.001319|2019-01-28|7:00:00 AM|IN
NAG.001319|2019-01-28|7:58:00 PM|OUT
NAG.001319|2019-01-29|6:58:00 AM|IN
NAG.001319|2019-01-29|5:28:00 PM|OUT
NAG.001319|2019-01-30|6:53:00 AM|IN
NAG.001319|2019-01-30|7:58:00 PM|OUT
NAG.001319|2019-01-31|7:01:00 AM|IN
NAG.001319|2019-01-31|7:57:00 PM|OUT
NAG.001319|2019-02-01|6:53:00 AM|IN
NAG.001319|2019-02-01|7:59:00 PM|OUT
NAG.001319|2019-02-02|7:00:00 AM|IN
NAG.001319|2019-02-02|12:30:00 PM|OUT
NAG.001319|2019-02-02|12:30:00 PM|OUT
NAG.001319|2019-02-04|6:54:00 AM|IN
NAG.001319|2019-02-04|6:00:00 PM|OUT
NAG.001319|2019-02-05|7:01:00 AM|IN
NAG.001319|2019-02-05|3:55:00 PM|OUT
NAG.001319|2019-02-06|6:58:00 AM|IN
NAG.001319|2019-02-06|6:58:00 AM|IN
NAG.001319|2019-02-06|5:40:00 PM|OUT
NAG.001319|2019-02-07|6:58:00 AM|IN
NAG.001319|2019-02-07|8:00:00 PM|OUT
NAG.001319|2019-02-08|6:50:00 AM|IN
NAG.001319|2019-02-08|6:09:00 PM|OUT
NAG.001319|2019-02-09|7:04:00 AM|IN
NAG.001319|2019-02-09|12:29:00 PM|OUT
NAG.001319|2019-02-11|7:01:00 AM|IN
NAG.001319|2019-02-11|7:58:00 PM|OUT
NAG.001319|2019-02-12|7:07:00 AM|IN
NAG.001433|2019-01-26|7:00:00 AM|IN
NAG.001433|2019-01-26|12:42:00 PM|OUT
NAG.001433|2019-01-28|7:02:00 AM|IN
NAG.001433|2019-01-28|5:27:00 PM|OUT
NAG.001433|2019-01-29|7:03:00 AM|IN
NAG.001433|2019-01-29|5:44:00 PM|OUT
NAG.001433|2019-01-30|6:59:00 AM|IN
NAG.001433|2019-01-30|5:29:00 PM|OUT
NAG.001433|2019-01-31|7:03:00 AM|IN
NAG.001433|2019-01-31|7:59:00 PM|OUT
NAG.001433|2019-02-01|6:49:00 AM|IN
NAG.001433|2019-02-01|8:02:00 PM|OUT
NAG.001433|2019-02-02|6:52:00 AM|IN
NAG.001433|2019-02-02|12:39:00 PM|OUT
NAG.001433|2019-02-04|6:58:00 AM|IN
NAG.001433|2019-02-04|7:59:00 PM|OUT
NAG.001433|2019-02-05|8:21:00 AM|IN
NAG.001433|2019-02-05|5:02:00 PM|OUT
NAG.001433|2019-02-06|7:10:00 AM|IN
NAG.001433|2019-02-06|5:44:00 PM|OUT
NAG.001433|2019-02-07|6:56:00 AM|IN
NAG.001433|2019-02-07|10:04:00 PM|OUT
NAG.001433|2019-02-09|6:56:00 AM|IN
NAG.001433|2019-02-09|12:37:00 PM|OUT
NAG.001433|2019-02-11|6:55:00 AM|IN
NAG.001433|2019-02-11|5:23:00 PM|OUT
NAG.001433|2019-02-12|7:01:00 AM|IN
NAG.001509|2019-01-26|7:10:00 AM|IN
NAG.001509|2019-01-26|12:35:00 PM|OUT
NAG.001509|2019-01-28|6:11:00 AM|IN
NAG.001509|2019-01-28|5:30:00 PM|OUT
NAG.001509|2019-01-29|7:01:00 AM|IN
NAG.001509|2019-01-29|8:02:00 PM|OUT
NAG.001509|2019-01-30|7:07:00 AM|IN
NAG.001509|2019-01-30|5:41:00 PM|OUT
NAG.001509|2019-01-31|7:05:00 AM|IN
NAG.001509|2019-01-31|8:02:00 PM|OUT
NAG.001509|2019-02-01|6:50:00 AM|IN
NAG.001509|2019-02-01|5:35:00 PM|OUT
NAG.001509|2019-02-02|6:42:00 AM|IN
NAG.001509|2019-02-02|12:45:00 PM|OUT
NAG.001509|2019-02-04|6:19:00 AM|IN
NAG.001509|2019-02-04|5:34:00 PM|OUT
NAG.001509|2019-02-05|7:09:00 AM|IN
NAG.001509|2019-02-05|5:20:00 PM|OUT
NAG.001509|2019-02-06|6:58:00 AM|IN
NAG.001509|2019-02-06|8:00:00 PM|OUT
NAG.001509|2019-02-07|7:02:00 AM|IN
NAG.001509|2019-02-07|8:02:00 PM|OUT
NAG.001509|2019-02-08|6:58:00 AM|IN
NAG.001509|2019-02-08|8:10:00 PM|OUT
NAG.001509|2019-02-09|7:03:00 AM|IN
NAG.001509|2019-02-09|7:03:00 AM|IN
NAG.001509|2019-02-09|3:01:00 PM|OUT
NAG.001509|2019-02-11|6:31:00 AM|IN
NAG.001509|2019-02-11|10:18:00 PM|OUT
NAG.001509|2019-02-12|7:12:00 AM|IN
NAG.001576|2019-01-26|6:56:00 AM|IN
NAG.001576|2019-01-26|1:20:00 PM|OUT
NAG.001576|2019-01-29|6:45:00 AM|IN
NAG.001576|2019-01-29|5:32:00 PM|OUT
NAG.001576|2019-01-30|6:49:00 AM|IN
NAG.001576|2019-01-30|8:02:00 PM|OUT
NAG.001576|2019-01-31|6:56:00 AM|IN
NAG.001576|2019-01-31|7:57:00 PM|OUT
NAG.001576|2019-02-01|6:42:00 AM|IN
NAG.001576|2019-02-01|8:03:00 PM|OUT
NAG.001576|2019-02-01|8:05:00 PM|OUT
NAG.001576|2019-02-02|6:45:00 AM|IN
NAG.001576|2019-02-02|12:39:00 PM|OUT
NAG.001576|2019-02-04|6:53:00 AM|IN
NAG.001576|2019-02-04|7:59:00 PM|OUT
NAG.001576|2019-02-05|6:48:00 AM|IN
NAG.001576|2019-02-05|3:29:00 PM|OUT
NAG.001576|2019-02-06|6:59:00 AM|IN
NAG.001576|2019-02-06|4:27:00 PM|OUT
NAG.001576|2019-02-07|6:51:00 AM|IN
NAG.001576|2019-02-07|5:23:00 PM|OUT
NAG.001576|2019-02-08|6:51:00 AM|IN
NAG.001576|2019-02-08|4:50:00 PM|OUT
NAG.001576|2019-02-09|6:48:00 AM|IN
NAG.001576|2019-02-09|12:37:00 PM|OUT
NAG.001576|2019-02-11|6:48:00 AM|IN
NAG.001576|2019-02-11|5:22:00 PM|OUT
NAG.001576|2019-02-12|6:49:00 AM|IN
NAG.001614|2019-01-26|6:44:00 AM|IN
NAG.001614|2019-01-26|12:49:00 PM|OUT
NAG.001614|2019-01-28|7:05:00 AM|IN
NAG.001614|2019-01-28|8:10:00 PM|OUT
NAG.001614|2019-01-30|6:39:00 AM|IN
NAG.001614|2019-01-30|8:01:00 PM|OUT
NAG.001614|2019-01-31|6:45:00 AM|IN
NAG.001614|2019-01-31|8:02:00 PM|OUT
NAG.001614|2019-02-01|6:37:00 AM|IN
NAG.001614|2019-02-01|8:04:00 PM|OUT
NAG.001614|2019-02-02|6:47:00 AM|IN
NAG.001614|2019-02-02|12:36:00 PM|OUT
NAG.001614|2019-02-06|6:38:00 AM|IN
NAG.001614|2019-02-06|3:36:00 PM|OUT
NAG.001614|2019-02-07|6:43:00 AM|IN
NAG.001614|2019-02-07|4:36:00 PM|OUT
NAG.001614|2019-02-08|6:38:00 AM|IN
NAG.001614|2019-02-08|4:11:00 PM|OUT
NAG.001614|2019-02-09|6:38:00 AM|IN
NAG.001614|2019-02-09|12:37:00 PM|OUT
NAG.001614|2019-02-11|6:41:00 AM|IN
NAG.001614|2019-02-11|3:59:00 PM|OUT
NAG.001614|2019-02-12|6:32:00 AM|IN
NAG.001700|2019-01-26|7:07:00 AM|IN
NAG.001700|2019-01-26|12:30:00 PM|OUT
NAG.001700|2019-01-28|7:09:00 AM|IN
NAG.001700|2019-01-28|5:28:00 PM|OUT
NAG.001700|2019-01-29|6:44:00 AM|IN
NAG.001700|2019-01-29|7:58:00 PM|OUT
NAG.001700|2019-01-30|7:06:00 AM|IN
NAG.001700|2019-01-30|7:57:00 PM|OUT
NAG.001700|2019-01-31|7:06:00 AM|IN
NAG.001700|2019-01-31|7:57:00 PM|OUT
NAG.001700|2019-02-01|6:47:00 AM|IN
NAG.001700|2019-02-01|7:58:00 PM|OUT
NAG.001700|2019-02-02|7:07:00 AM|IN
NAG.001700|2019-02-02|12:33:00 PM|OUT
NAG.001700|2019-02-04|7:08:00 AM|IN
NAG.001700|2019-02-04|5:33:00 PM|OUT
NAG.001700|2019-02-06|7:03:00 AM|IN
NAG.001700|2019-02-06|5:40:00 PM|OUT
NAG.001700|2019-02-07|6:45:00 AM|IN
NAG.001700|2019-02-07|7:57:00 PM|OUT
NAG.001700|2019-02-08|6:49:00 AM|IN
NAG.001700|2019-02-08|7:58:00 PM|OUT
NAG.001700|2019-02-09|6:51:00 AM|IN
NAG.001700|2019-02-09|12:57:00 PM|OUT
NAG.001700|2019-02-11|6:53:00 AM|IN
NAG.001700|2019-02-11|3:51:00 PM|OUT
NAG.001700|2019-02-12|6:48:00 AM|IN
NAG.001764|2019-01-26|7:01:00 AM|IN
NAG.001764|2019-01-26|12:36:00 PM|OUT
NAG.001764|2019-01-28|7:12:00 AM|IN
NAG.001764|2019-01-28|5:34:00 PM|OUT
NAG.001764|2019-01-29|7:06:00 AM|IN
NAG.001764|2019-01-29|5:31:00 PM|OUT
NAG.001764|2019-01-30|7:07:00 AM|IN
NAG.001764|2019-01-30|8:00:00 PM|OUT
NAG.001764|2019-01-31|7:09:00 AM|IN
NAG.001764|2019-01-31|7:59:00 PM|OUT
NAG.001764|2019-02-01|6:55:00 AM|IN
NAG.001764|2019-02-01|5:12:00 PM|OUT
NAG.001764|2019-02-02|7:06:00 AM|IN
NAG.001764|2019-02-02|12:36:00 PM|OUT
NAG.001764|2019-02-04|7:06:00 AM|IN
NAG.001764|2019-02-04|7:59:00 PM|OUT
NAG.001764|2019-02-05|7:06:00 AM|IN
NAG.001764|2019-02-05|5:20:00 PM|OUT
NAG.001764|2019-02-06|7:06:00 AM|IN
NAG.001764|2019-02-06|8:01:00 PM|OUT
NAG.001764|2019-02-07|7:03:00 AM|IN
NAG.001764|2019-02-07|8:02:00 PM|OUT
NAG.001764|2019-02-08|6:57:00 AM|IN
NAG.001764|2019-02-08|8:01:00 PM|OUT
NAG.001764|2019-02-09|7:03:00 AM|IN
NAG.001764|2019-02-09|2:59:00 PM|OUT
NAG.001764|2019-02-11|7:09:00 AM|IN
NAG.001764|2019-02-11|10:18:00 PM|OUT
NAG.001764|2019-02-12|7:09:00 AM|IN
NAG.001778|2019-01-26|6:57:00 AM|IN
NAG.001778|2019-01-26|12:34:00 PM|OUT
NAG.001778|2019-01-28|6:55:00 AM|IN
NAG.001778|2019-01-28|5:35:00 PM|OUT
