NIK|TANGGAL|JAM|STATUS
NAG.001135|2019-01-26|07:07:00|IN
NAG.001135|2019-01-26|12:39:00|OUT
NAG.001135|2019-01-28|07:19:00|IN
NAG.001135|2019-01-28|16:17:00|OUT
NAG.001135|2019-01-29|07:14:00|IN
NAG.001135|2019-01-29|20:03:00|OUT
NAG.001135|2019-01-29|20:05:00|OUT
NAG.001135|2019-01-02|06:56:00|IN
NAG.001135|2019-01-02|17:44:00|OUT
NAG.001135|2019-02-02|07:17:00|IN
NAG.001135|2019-02-02|12:39:00|OUT
NAG.001219|2019-01-26|07:09:00|IN
NAG.001219|2019-01-26|12:44:00|OUT
NAG.001219|2019-01-28|07:15:00|IN
NAG.001219|2019-01-28|20:00:00|OUT
NAG.001219|2019-01-29|07:11:00|IN
NAG.001219|2019-01-29|19:59:00|OUT
NAG.001219|2019-01-30|07:11:00|IN
NAG.001219|2019-01-30|17:01:00|OUT
NAG.001219|2019-01-31|07:11:00|IN
NAG.001219|2019-01-31|17:29:00|OUT
NAG.001219|2019-01-02|06:55:00|IN
NAG.001219|2019-01-02|19:59:00|OUT
NAG.001219|2019-02-02|07:14:00|IN
NAG.001219|2019-02-02|20:00:00|OUT
NAG.001219|2019-04-02|07:10:00|IN
NAG.001219|2019-04-02|17:04:00|OUT
NAG.001219|2019-05-02|06:59:00|IN
NAG.001219|2019-05-02|15:46:00|OUT
NAG.001219|2019-06-02|07:21:00|IN
NAG.001219|2019-06-02|16:51:00|OUT
NAG.001219|2019-07-02|07:13:00|IN
NAG.001219|2019-07-02|17:14:00|OUT
NAG.001219|2019-08-02|06:59:00|IN
NAG.001219|2019-08-02|19:58:00|OUT
NAG.001219|2019-09-02|07:14:00|IN
NAG.001219|2019-09-02|12:57:00|OUT
NAG.001219|2019-11-02|07:14:00|IN
NAG.001219|2019-11-02|17:27:00|OUT
NAG.001219|2019-12-02|07:08:00|IN
NAG.001219|2019-02-13|07:15:00|IN
NAG.001219|2019-02-13|16:48:00|OUT
NAG.001219|2019-02-14|07:14:00|IN
NAG.001309|2019-01-26|07:06:00|IN
NAG.001309|2019-01-26|12:33:00|OUT
NAG.001309|2019-01-28|07:11:00|IN
NAG.001309|2019-01-28|17:26:00|OUT
