NIK|TANGGAL|JAM|STATUS
NAG.001219|2019-03-19|07:15|IN
NAG.001219|2019-03-19|15:36|OUT
NAG.001219|2019-03-20|07:09|IN
NAG.001219|2019-03-20|17:16|OUT
NAG.001219|2019-03-21|07:14|IN
NAG.001309|2019-03-19|07:00|IN
NAG.001309|2019-03-19|15:28|OUT
NAG.001309|2019-03-20|07:01|IN
NAG.001309|2019-03-20|16:58|OUT
NAG.001309|2019-03-21|07:08|IN
NAG.001319|2019-03-19|06:49|IN
NAG.001319|2019-03-19|15:43|OUT
NAG.001319|2019-03-20|07:05|IN
NAG.001319|2019-03-20|16:28|OUT
NAG.001319|2019-03-21|07:00|IN
NAG.001433|2019-03-19|06:59|IN
NAG.001433|2019-03-19|16:45|OUT
NAG.001433|2019-03-20|07:02|IN
NAG.001433|2019-03-20|17:29|OUT
NAG.001433|2019-03-21|07:02|IN
NAG.001509|2019-03-19|07:08|IN
NAG.001509|2019-03-19|15:37|OUT
NAG.001509|2019-03-20|07:04|IN
NAG.001509|2019-03-20|17:38|OUT
NAG.001509|2019-03-21|07:07|IN
NAG.001576|2019-03-19|06:51|IN
NAG.001576|2019-03-19|15:43|OUT
NAG.001576|2019-03-20|06:46|IN
NAG.001576|2019-03-20|17:58|OUT
NAG.001576|2019-03-20|17:59|OUT
NAG.001576|2019-03-21|06:52|IN
NAG.001614|2019-03-19|06:33|IN
NAG.001614|2019-03-19|16:54|OUT
NAG.001614|2019-03-20|06:43|IN
NAG.001614|2019-03-20|17:43|OUT
NAG.001614|2019-03-21|06:42|IN
NAG.001645|2019-03-19|06:57|IN
NAG.001645|2019-03-19|17:56|OUT
NAG.001645|2019-03-20|06:51|IN
NAG.001645|2019-03-20|17:56|OUT
NAG.001645|2019-03-21|06:53|IN
NAG.001700|2019-03-19|06:46|IN
NAG.001700|2019-03-19|15:32|OUT
NAG.001700|2019-03-20|06:54|IN
NAG.001700|2019-03-20|17:08|OUT
NAG.001700|2019-03-21|06:49|IN
NAG.001764|2019-03-19|07:01|IN
NAG.001764|2019-03-19|15:35|OUT
NAG.001764|2019-03-20|07:05|IN
NAG.001764|2019-03-20|17:57|OUT
NAG.001764|2019-03-21|06:59|IN
NAG.001778|2019-03-19|06:47|IN
NAG.001778|2019-03-19|15:37|OUT
NAG.001778|2019-03-20|06:46|IN
NAG.001778|2019-03-20|18:07|OUT
NAG.001808|2019-03-19|06:51|IN
NAG.001808|2019-03-19|15:35|OUT
NAG.001808|2019-03-20|06:50|IN
NAG.001808|2019-03-20|17:34|OUT
NAG.001808|2019-03-21|06:43|IN
NAG.001895|2019-03-19|07:04|IN
NAG.001895|2019-03-19|17:55|OUT
NAG.001895|2019-03-20|07:04|IN
NAG.001895|2019-03-20|17:45|OUT
NAG.001895|2019-03-21|06:57|IN
NAG.001925|2019-03-19|06:31|IN
NAG.001925|2019-03-19|15:39|OUT
NAG.001925|2019-03-20|06:32|IN
NAG.001925|2019-03-20|17:26|OUT
NAG.001925|2019-03-21|06:33|IN
NAG.001966|2019-03-21|14:07|IN
NAG.001966|2019-03-21|14:07|IN
NAG.001966|2019-03-21|14:07|IN
NAG.001966|2019-03-21|14:07|IN
NAG.001966|2019-03-21|14:07|IN
NAG.001990|2019-03-19|07:02|IN
NAG.001990|2019-03-19|15:34|OUT
NAG.001990|2019-03-20|07:01|IN
NAG.001990|2019-03-20|17:39|OUT
NAG.001990|2019-03-21|07:01|IN
NAG.002001|2019-03-19|06:54|IN
NAG.002001|2019-03-19|15:40|OUT
NAG.002001|2019-03-20|06:35|IN
NAG.002001|2019-03-20|18:02|OUT
NAG.002001|2019-03-21|06:45|IN
NAG.002136|2019-03-19|06:43|IN
NAG.002136|2019-03-19|15:33|OUT
NAG.002136|2019-03-20|06:39|IN
NAG.002136|2019-03-20|17:53|OUT
NAG.002212|2019-03-19|06:49|IN
NAG.002212|2019-03-19|15:51|OUT
NAG.002212|2019-03-20|06:47|IN
NAG.002212|2019-03-20|18:06|OUT
NAG.002212|2019-03-21|06:37|IN
NAG.002216|2019-03-19|07:10|IN
NAG.002216|2019-03-19|15:47|OUT
NAG.002216|2019-03-21|06:53|IN
NAG.002216|2019-03-21|06:53|IN
NAG.002250|2019-03-19|06:50|IN
NAG.002250|2019-03-19|17:56|OUT
NAG.002250|2019-03-20|06:44|IN
NAG.002250|2019-03-20|17:41|OUT
NAG.002250|2019-03-21|06:48|IN
NAG.002250|2019-03-21|15:33|OUT
NAG.002413|2019-03-19|06:22|IN
NAG.002413|2019-03-19|15:48|OUT
NAG.002413|2019-03-20|06:23|IN
NAG.002413|2019-03-20|18:03|OUT
NAG.002413|2019-03-21|06:28|IN
NAG.002537|2019-03-19|06:41|IN
NAG.002537|2019-03-19|17:46|OUT
NAG.002537|2019-03-20|06:40|IN
NAG.002537|2019-03-20|17:43|OUT
NAG.002537|2019-03-21|06:41|IN
NAG.002685|2019-03-19|06:51|IN
NAG.002685|2019-03-19|15:35|OUT
NAG.002685|2019-03-20|06:51|IN
NAG.002685|2019-03-20|17:40|OUT
NAG.002685|2019-03-21|06:51|IN
NAG.002697|2019-03-19|07:00|IN
NAG.002697|2019-03-19|07:00|IN
NAG.002697|2019-03-19|15:56|OUT
NAG.002697|2019-03-19|15:56|OUT
NAG.002697|2019-03-19|15:56|OUT
NAG.002697|2019-03-20|07:06|IN
NAG.002697|2019-03-20|07:06|IN
NAG.002697|2019-03-20|07:06|IN
NAG.002697|2019-03-20|18:07|OUT
NAG.002697|2019-03-20|18:07|OUT
NAG.002697|2019-03-21|07:00|IN
NAG.002697|2019-03-21|07:00|IN
NAG.002698|2019-03-19|06:27|IN
NAG.002698|2019-03-19|15:36|OUT
NAG.002698|2019-03-20|06:40|IN
NAG.002698|2019-03-20|17:52|OUT
NAG.002698|2019-03-21|06:32|IN
NAG.002706|2019-03-19|06:44|IN
NAG.002706|2019-03-19|15:30|OUT
NAG.002706|2019-03-20|06:51|IN
NAG.002706|2019-03-20|17:59|OUT
NAG.002706|2019-03-21|06:50|IN
NAG.002707|2019-03-19|06:55|IN
NAG.002707|2019-03-19|15:39|IN
NAG.002707|2019-03-20|06:57|IN
NAG.002707|2019-03-20|17:46|OUT
NAG.002707|2019-03-21|06:55|IN
NAG.002718|2019-03-20|09:39|IN
NAG.002718|2019-03-20|09:39|IN
NAG.002718|2019-03-20|18:01|OUT
NAG.002718|2019-03-21|07:02|IN
NAG.000351|2019-03-19|07:05|IN
NAG.000351|2019-03-19|15:35|IN
NAG.000351|2019-03-20|07:09|IN
NAG.000351|2019-03-20|17:36|OUT
NAG.000351|2019-03-21|07:05|IN
NAG.000399|2019-03-19|06:54|IN
NAG.000399|2019-03-19|17:53|OUT
NAG.000399|2019-03-20|07:01|IN
NAG.000399|2019-03-20|17:36|OUT
NAG.000399|2019-03-21|06:58|IN
NAG.000445|2019-03-19|07:00|IN
NAG.000445|2019-03-19|15:43|OUT
