NIK|TANGGAL|JAM|STATUS
NAG.000029|2018-09-26|07:43:00|IN
NAG.000029|2018-09-26|18:21:00|OUT
NAG.000029|2018-09-27|07:38:00|IN
NAG.000029|2018-09-27|17:25:00|OUT
NAG.000029|2018-09-28|07:37:00|IN
NAG.000029|2018-09-28|17:33:00|OUT
NAG.000029|2018-09-29|07:26:00|IN
NAG.000029|2018-09-29|12:55:00|OUT
NAG.000029|2018-10-01|07:28:00|IN
NAG.000029|2018-10-01|19:54:00|OUT
NAG.000029|2018-10-02|07:25:00|IN
NAG.000029|2018-10-02|21:05:00|OUT
NAG.000029|2018-10-04|07:36:00|IN
NAG.000029|2018-10-04|20:08:00|OUT
NAG.000029|2018-10-05|07:43:00|IN
NAG.000029|2018-10-05|22:35:00|OUT
NAG.000029|2018-10-08|07:32:00|IN
NAG.000029|2018-10-08|17:26:00|OUT
NAG.000029|2018-10-09|07:35:00|IN
NAG.000029|2018-10-09|15:52:00|OUT
NAG.000029|2018-10-12|07:34:00|IN
NAG.000029|2018-10-12|16:50:00|OUT
NAG.000029|2018-10-13|07:34:00|IN
NAG.000029|2018-10-13|12:32:00|OUT
NAG.000029|2018-10-15|07:33:00|IN
NAG.000029|2018-10-15|17:23:00|OUT
NAG.000029|2018-10-16|09:24:00|IN
NAG.000029|2018-10-16|17:29:00|OUT
NAG.000029|2018-10-19|07:48:00|IN
NAG.000029|2018-10-19|17:33:00|OUT
NAG.000029|2018-10-20|07:20:00|IN
NAG.000029|2018-10-20|12:41:00|OUT
NAG.000029|2018-10-22|07:43:00|IN
NAG.000029|2018-10-22|15:59:00|OUT
NAG.000029|2018-10-23|07:36:00|IN
NAG.000029|2018-10-23|17:17:00|OUT
NAG.000043|2018-09-26|08:24:00|IN
NAG.000043|2018-09-26|18:53:00|OUT
NAG.000043|2018-09-27|07:51:00|IN
NAG.000043|2018-09-27|17:12:00|OUT
NAG.000043|2018-09-28|08:42:00|IN
NAG.000043|2018-09-28|18:02:00|OUT
NAG.000043|2018-09-29|08:56:00|IN
NAG.000043|2018-09-29|12:35:00|OUT
NAG.000043|2018-10-01|08:30:00|IN
NAG.000043|2018-10-01|17:59:00|OUT
NAG.000043|2018-10-02|08:29:00|IN
NAG.000043|2018-10-03|00:44:00|OUT
NAG.000043|2018-10-03|08:27:00|IN
NAG.000043|2018-10-03|18:36:00|OUT
NAG.000043|2018-10-04|08:42:00|IN
NAG.000043|2018-10-05|03:18:00|OUT
NAG.000043|2018-10-05|10:42:00|IN
NAG.000043|2018-10-06|00:03:00|OUT
NAG.000914|2018-09-26|07:30:00|IN
NAG.000914|2018-09-26|17:43:00|OUT
NAG.000914|2018-09-27|07:31:00|IN
NAG.000914|2018-09-27|17:26:00|OUT
NAG.000914|2018-09-28|07:30:00|IN
NAG.000914|2018-09-28|18:12:00|OUT
NAG.000914|2018-09-29|07:34:00|IN
NAG.000914|2018-09-29|12:36:00|OUT
