NIK|TANGGAL|JAM|STATUS
NAG.001135|2018-12-26|7:08:00 AM|IN
NAG.001135|2018-12-26|4:01:00 PM|OUT
NAG.001135|2018-12-27|7:05:00 AM|IN
NAG.001135|2018-12-27|4:47:00 PM|OUT
NAG.001135|2018-12-28|6:54:00 AM|IN
NAG.001135|2018-12-28|5:20:00 PM|OUT
NAG.001135|2018-12-29|6:31:00 AM|IN
NAG.001135|2018-12-29|1:12:00 PM|OUT
NAG.001135|2019-01-02|7:11:00 AM|IN
NAG.001135|2019-01-02|5:06:00 PM|OUT
NAG.001135|2019-01-03|7:04:00 AM|IN
NAG.001135|2019-01-03|10:14:00 PM|OUT
NAG.001135|2019-01-04|6:55:00 AM|IN
NAG.001135|2019-01-04|6:57:00 AM|IN
NAG.001135|2019-01-04|4:59:00 PM|OUT
NAG.001135|2019-01-05|7:02:00 AM|IN
NAG.001135|2019-01-05|12:39:00 PM|OUT
NAG.001135|2019-01-07|7:03:00 AM|IN
NAG.001135|2019-01-07|4:58:00 PM|OUT
NAG.001135|2019-01-08|7:09:00 AM|IN
NAG.001135|2019-01-08|4:34:00 PM|OUT
NAG.001135|2019-01-09|7:12:00 AM|IN
NAG.001135|2019-01-09|5:15:00 PM|OUT
NAG.001135|2019-01-11|6:58:00 AM|IN
NAG.001135|2019-01-11|7:59:00 PM|OUT
NAG.001135|2019-01-11|7:59:00 PM|OUT
NAG.001135|2019-01-12|7:04:00 AM|IN
NAG.001135|2019-01-12|12:39:00 PM|OUT
NAG.001135|2019-01-14|7:12:00 AM|IN
NAG.001135|2019-01-14|7:59:00 PM|OUT
NAG.001135|2019-01-15|7:12:00 AM|IN
NAG.001135|2019-01-15|7:14:00 AM|IN
NAG.001135|2019-01-15|7:57:00 PM|OUT
NAG.001135|2019-01-16|7:11:00 AM|IN
NAG.001135|2019-01-16|5:07:00 PM|OUT
NAG.001135|2019-01-17|7:09:00 AM|IN
NAG.001135|2019-01-17|7:09:00 AM|IN
NAG.001135|2019-01-17|5:02:00 PM|OUT
NAG.001135|2019-01-18|6:59:00 AM|IN
NAG.001135|2019-01-18|5:58:00 PM|OUT
NAG.001135|2019-01-18|5:59:00 PM|IN
